Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1.48E+09,-0.249408,-0.455265,0.038265,0.068586,-0.001092,-0.009783
1.48E+09,-0.375202,-0.655024,0.02633,0.059787,0.069636,-0.017201
1.48E+09,-0.472442,-0.798988,0.017545,0.036518,0.164272,-0.028752
1.48E+09,-0.494446,-0.749104,-0.04739,-0.009878,0.220222,-0.017761
1.48E+09,-0.468659,-0.68128,-0.152412,-0.048009,0.163671,0.037955
1.48E+09,-0.26662,-0.524786,-0.088362,-0.014014,0.008538,0.054031
1.48E+09,-0.092953,-0.031603,-0.081915,0.045374,-0.186424,0.067545
1.48E+09,0.01008,0.162357,-0.131534,0.024497,-0.361351,0.113778
1.48E+09,-0.009021,0.044443,-0.094252,-0.013937,-0.209287,0.047821
1.48E+09,-0.156989,-0.202177,0.008344,0.036054,-0.03953,0.024118
1.48E+09,-0.144504,-0.176701,0.075549,-0.01155,-0.020803,-0.018546
1.48E+09,-0.036777,-0.219157,0.054518,-0.134904,0.02674,-0.018118
1.48E+09,-0.085004,-0.186525,0.109688,-0.160195,-0.002911,-0.016464
1.48E+09,-0.003134,-0.295175,0.147045,-0.119248,-0.052256,0.019076
1.48E+09,0.164333,-0.383935,0.087185,-0.123743,-0.078863,-0.024279
1.48E+09,0.279021,-0.508532,-0.013304,-0.072387,-0.026739,-0.01768
1.48E+09,0.376208,-0.636755,0.009887,-0.007012,-0.01083,0.015175
1.48E+09,0.351923,-0.730566,0.117821,0.047228,-0.04065,0.011131
1.48E+09,0.284067,-0.767022,0.139533,0.058495,-0.029856,0.014486
1.48E+09,0.24601,-0.749889,0.133788,-0.012707,-0.007552,-0.011131
1.48E+09,0.232145,-0.757144,0.104275,-0.085011,-0.007074,-0.033767
1.48E+09,0.238855,-0.813219,0.013334,-0.067573,0.009757,-0.046944
1.48E+09,0.211594,-0.87967,-0.044807,-0.027533,0.023707,-0.0619
1.48E+09,0.1219,-0.86965,0.02241,0.023998,0.055069,-0.063793
1.48E+09,0.077106,-0.671647,-0.025731,0.020751,0.079388,-0.071806
1.48E+09,0.0549,-0.458574,-0.084839,-0.064559,0.054906,-0.061038
1.48E+09,-0.001605,-0.359752,-0.111852,-0.049468,0.061697,-0.014528
1.48E+09,-0.052581,-0.310559,-0.115871,0.01523,0.06511,-0.001163
1.48E+09,-0.10632,-0.239128,-0.115424,0.05459,0.058493,-0.009928
1.48E+09,-0.133579,-0.156525,-0.104947,0.071218,0.048838,-0.00259
1.48E+09,-0.153078,-0.093686,-0.091572,0.0784,0.038886,0.012091
1.48E+09,-0.157199,-0.054298,-0.072673,0.082312,0.031793,0.010749
1.48E+09,-0.149932,-0.017305,-0.054796,0.084745,0.020148,0.004175
1.48E+09,-0.140059,0.011034,-0.035509,0.07359,0.007257,0.003072
1.48E+09,-0.119906,0.018511,-0.027985,0.058886,3.79E-04,0.004066
1.48E+09,-0.065462,0.004032,-0.031861,0.031418,-0.01005,-7.71E-04
1.48E+09,-0.018561,-0.014223,-0.033329,0.024017,-0.023147,0.001838
1.48E+09,0.043559,-0.038614,-0.029568,0.014923,-0.038762,0.008706
1.48E+09,0.091706,-0.052091,-0.010249,0.001576,-0.040983,0.009587
1.48E+09,0.139703,-0.050634,-0.002222,-0.0089,-0.071094,0.007658
1.48E+09,0.199259,-0.070134,0.006326,-0.024366,-0.070012,0.003436
1.48E+09,0.246256,-0.09716,0.018499,-0.028577,-0.067594,-2.97E-04
1.48E+09,0.281926,-0.130344,0.019574,-0.026357,-0.062448,-0.002572
1.48E+09,0.312394,-0.146295,0.026415,-0.02119,-0.049116,-0.006837
1.48E+09,0.317479,-0.148801,0.03389,-0.017426,-0.029087,-0.002396
1.48E+09,0.307338,-0.143966,0.039794,-0.003713,-0.004304,0.006403
1.48E+09,0.271866,-0.131859,0.04521,0.00566,0.025376,0.022375
1.48E+09,0.212457,-0.126119,0.055293,0.022556,0.044528,0.037575
1.48E+09,0.156911,-0.128983,0.061898,0.025305,0.05784,0.049901
1.48E+09,0.10011,-0.134235,0.057487,0.025307,0.066876,0.062445
