time(ms),time (ds),time_raw,x_accel,y_accel,z_accel,g_measured
10162.104,1016.2104,5340.137321,0.14151,-0.947388,0.200928,0.978744
10191.641,1019.1641,5340.166858,0.138992,-0.999222,0.238602,1.036674
10221.181,1022.1181,5340.196398,0.121658,-1.005447,0.222992,1.037039
10250.72,1025.072,5340.225937,0.114441,-1.04158,0.251968,1.077717
10280.259,1028.0259,5340.255476,0.145538,-0.976196,0.233627,1.014259
10309.798,1030.9798,5340.285015,0.19635,-0.926697,0.21785,0.971997
10339.34,1033.934,5340.314557,0.213181,-0.914581,0.216248,0.963674
10368.883,1036.8883,5340.3441,0.175034,-0.863541,0.172775,0.897881
10398.425,1039.8425,5340.373642,0.179001,-0.852905,0.155426,0.885238
10427.967,1042.7967,5340.403184,0.189941,-0.87941,0.179062,0.917334
10457.509,1045.7509,5340.432726,0.231918,-0.897064,0.241638,0.957549
10487.046,1048.7046,5340.462263,0.237961,-0.906921,0.330582,0.994191
10516.584,1051.6584,5340.491801,0.23819,-0.90593,0.43251,1.03175
10546.126,1054.6126,5340.521343,0.546967,-0.938553,0.430267,1.168411
10575.667,1057.5667,5340.550884,0.491898,-0.871887,0.460739,1.102012
10605.206,1060.5206,5340.580423,0.187637,-0.933762,0.410995,1.037321
10634.745,1063.4745,5340.609962,0.15419,-0.902954,0.275574,0.956578
10664.288,1066.4288,5340.639505,0.015808,-0.984665,0.095764,0.989437
10693.832,1069.3832,5340.669049,0.060349,-1.036697,0.101486,1.0434
10723.374,1072.3374,5340.698591,0.039536,-1.00708,0.076508,1.010756
10752.917,1075.2917,5340.728134,-0.01001,-0.991669,0.039581,0.992509
10782.455,1078.2455,5340.757672,-0.042542,-1.0009,0.01358,1.001896
