time (ms),time (ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
8184.032,818.4032,1.965118,2.249924,0.16124,2.991629,4014.427705
8213.576,821.3576,-0.349243,-6.716782,-0.628326,6.75514,4014.457249
8243.123,824.3123,1.257004,-0.090256,0.569183,1.382814,4014.486796
8272.668,827.2668,1.466705,0.431564,1.243561,1.970765,4014.516341
8302.213,830.2213,1.581284,-0.05777,1.448395,2.145144,4014.545886
8331.759,833.1759,1.228317,-1.049133,1.23793,2.03517,4014.575432
8361.305,836.1305,0.209549,-1.072678,0.873657,1.399223,4014.604978
8390.853,839.0853,0.418015,-0.866791,0.875412,1.300926,4014.634526
8420.395,842.0395,0.588837,-0.478134,0.663605,1.007825,4014.664068
8449.941,844.9941,1.095184,-0.521545,0.669998,1.385762,4014.693614
8479.487,847.9487,0.589325,-0.916641,1.071762,1.528466,4014.72316
8509.035,850.9035,-0.31076,-0.791183,1.257172,1.517572,4014.752708
8538.579,853.8579,-0.215607,-0.792603,0.794891,1.143047,4014.782252
8568.12,856.812,-0.419922,-2.155045,1.276855,2.539864,4014.811793
8597.671,859.7671,0.307541,-1.197601,-0.251602,1.261798,4014.841344
8627.216,862.7216,0.361115,-1.299789,-0.533279,1.450601,4014.870889
8656.763,865.6763,-0.223053,-0.835968,-0.781769,1.166086,4014.900436
8686.308,868.6308,-0.891983,0.084488,-0.358795,0.965146,4014.929981
8715.851,871.5851,-1.086487,-0.944427,-0.856369,1.675042,4014.959524
8745.392,874.5392,-0.395935,-2.023117,-0.979187,2.28223,4014.989065
8774.937,877.4937,0.010345,-2.651108,-0.50563,2.698915,4015.01861
8804.482,880.4482,0.370224,-2.406982,0.617584,2.512377,4015.048155
8834.027,883.4027,0.498627,-1.069473,1.458557,1.87611,4015.0777
8863.575,886.3575,0.461472,-2.115616,1.70076,2.753429,4015.107248
8893.118,889.3118,1.086823,-0.288559,-0.038467,1.125135,4015.136791
8922.663,892.2663,1.571869,0.387192,1.76413,2.394336,4015.166336
8952.209,895.2209,0.400284,0.079437,3.026932,3.054317,4015.195882
8981.755,898.1755,1.252151,0.775055,1.453751,2.069296,4015.225428
9011.3,901.13,2.065308,-0.554855,1.607651,2.675425,4015.254973
9040.843,904.0843,0.983887,-1.143967,1.657516,2.24144,4015.284516
9070.387,907.0387,0.466415,-0.53244,0.797516,1.066334,4015.31406
9099.933,909.9933,0.381393,-0.187271,0.917114,1.010757,4015.343606
9129.479,912.9479,0.825104,-0.24939,0.540298,1.017307,4015.373152
9159.026,915.9026,1.505768,-0.491104,0.471527,1.652531,4015.402699
