timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
2780,1.65386,1.312247,1.284177,-1.820217,0.398903,0.578522,0.254797,-0.966762,0.021213,-0.136587,0.245555,-0.132511,-8.238091,-37.199001,13.371035
2800,1.583513,1.327309,1.370198,-0.512106,0.659299,0.890947,0.241069,-0.970503,0.003066,0.002645,0.334242,-0.73944,-8.95368,-37.78447,11.071679
2820,1.627665,1.344935,1.334906,0.823487,0.365243,0.845265,0.223584,-0.974602,0.012729,0.005344,0.257805,-0.408847,-10.086613,-37.66013,10.50672
2840,1.758646,1.356232,1.202655,1.550892,-0.023971,0.670631,0.209176,-0.977069,0.039762,0.031226,-0.186185,-0.037321,-10.086613,-37.66013,10.50672
2860,1.855446,1.36719,1.103649,0.211424,0.187863,0.879313,0.194066,-0.979344,0.056783,0.028117,-0.276836,0.172801,-10.835746,-37.114365,11.641612
2880,1.815166,1.387353,1.153271,-1.006631,0.479703,0.750452,0.176997,-0.983221,0.044135,-0.098445,0.107138,-0.040625,-11.78252,-36.689003,12.062579
2900,1.742673,1.403072,1.237428,-0.686213,0.60426,0.55392,0.164479,-0.985967,0.028552,-0.083577,0.167028,-0.130282,-11.78252,-36.689003,12.062579
2920,1.736379,1.414411,1.254516,0.048129,0.469881,0.560501,0.153619,-0.987797,0.025672,0.06832,0.003101,-0.192221,-12.698967,-36.753502,10.878087
2940,1.805783,1.426355,1.191451,0.438854,0.271617,0.761457,0.139984,-0.989586,0.033513,0.124054,-0.03144,-0.023778,-13.205635,-36.664303,10.571513
2960,1.894555,1.441867,1.10521,0.226921,0.119115,0.976286,0.121893,-0.9917,0.040903,0.11117,-0.056609,0.060293,-13.205635,-36.664303,10.571513
